N,log_2(N),Sorted,Balanced,Scrambled0,Scrambled1,Scrambled2,Scrambled3,Scrambled4
0,N/A,-1,-1,-1,-1,-1,-1,-1
1,0,0,0,0,0,0,0,0
2,1,1,1,1,1,1,1,1
3,1.58,2,1,1,2,2,1,2
4,2,3,2,2,3,3,2,3
5,2.32,4,2,2,3,4,2,4
6,2.58,5,2,3,3,4,3,4
7,2.81,6,2,3,3,4,4,4
8,3,7,3,3,3,5,4,5
9,3.17,8,3,3,3,5,4,5
10,3.32,9,3,4,3,5,4,6
11,3.46,10,3,4,4,6,4,7
12,3.58,11,3,5,4,6,4,7
13,3.7,12,3,5,4,6,5,7
14,3.81,13,3,5,4,6,5,8
15,3.91,14,3,6,4,7,5,9
16,4,15,4,6,4,7,5,9
17,4.09,16,4,6,4,7,5,9
18,4.17,17,4,7,5,7,5,9
19,4.25,18,4,7,5,7,5,9
20,4.32,19,4,8,5,7,5,9
21,4.39,20,4,8,5,8,5,9
22,4.46,21,4,8,6,8,5,9
23,4.52,22,4,8,6,8,5,9
24,4.58,23,4,8,6,8,5,10
25,4.64,24,4,8,6,8,5,10
26,4.7,25,4,8,7,8,5,10
27,4.75,26,4,9,7,9,6,10
28,4.81,27,4,10,7,10,6,10
29,4.86,28,4,10,7,10,6,10
30,4.91,29,4,10,7,10,6,10
31,4.95,30,4,10,7,10,6,10
32,5,31,5,10,7,10,6,10
33,5.04,32,5,10,7,10,6,11
34,5.09,33,5,10,7,10,6,11
35,5.13,34,5,10,7,10,7,11
36,5.17,35,5,10,7,10,7,11
37,5.21,36,5,10,7,10,7,11
38,5.25,37,5,11,7,10,7,11
39,5.29,38,5,12,8,10,7,11
40,5.32,39,5,12,8,10,7,11
41,5.36,40,5,12,8,10,7,11
42,5.39,41,5,12,9,10,7,11
43,5.43,42,5,12,9,11,7,11
44,5.46,43,5,12,10,11,7,11
45,5.49,44,5,12,10,12,7,11
46,5.52,45,5,12,10,12,7,11
47,5.55,46,5,12,10,13,7,11
48,5.58,47,5,13,10,13,7,11
49,5.61,48,5,13,10,13,7,12
50,5.64,49,5,13,10,14,7,12
51,5.67,50,5,13,11,14,7,12
52,5.7,51,5,13,11,14,7,12
53,5.73,52,5,13,11,14,8,12
54,5.75,53,5,13,11,14,8,12
55,5.78,54,5,13,11,14,8,12
56,5.81,55,5,13,11,14,8,12
57,5.83,56,5,13,11,15,8,12
58,5.86,57,5,13,11,15,8,12
59,5.88,58,5,13,11,15,8,12
60,5.91,59,5,13,11,15,8,12
61,5.93,60,5,13,11,15,8,12
62,5.95,61,5,13,11,15,8,12
63,5.98,62,5,13,11,15,8,12
64,6,63,6,13,11,15,8,12
65,6.02,64,6,13,11,15,8,13
66,6.04,65,6,13,11,15,8,13
67,6.07,66,6,13,11,15,8,13
68,6.09,67,6,14,11,15,8,13
69,6.11,68,6,14,12,15,8,13
70,6.13,69,6,14,12,15,8,13
71,6.15,70,6,14,12,15,8,13
72,6.17,71,6,14,12,15,8,13
73,6.19,72,6,14,12,15,8,13
74,6.21,73,6,14,12,15,8,13
75,6.23,74,6,14,13,15,8,13
76,6.25,75,6,14,13,15,8,13
77,6.27,76,6,14,13,15,8,13
78,6.29,77,6,14,13,15,8,13
79,6.3,78,6,14,13,15,8,14
80,6.32,79,6,14,13,15,9,14
81,6.34,80,6,14,13,15,9,14
82,6.36,81,6,14,13,15,9,14
83,6.38,82,6,14,13,15,9,14
84,6.39,83,6,14,13,15,9,14
85,6.41,84,6,14,13,15,9,14
86,6.43,85,6,14,13,15,9,14
87,6.44,86,6,14,13,15,9,14
88,6.46,87,6,14,13,15,9,14
89,6.48,88,6,14,13,15,9,14
90,6.49,89,6,14,13,15,10,14
91,6.51,90,6,14,14,15,10,14
92,6.52,91,6,14,14,15,10,15
93,6.54,92,6,14,14,15,10,15
94,6.55,93,6,14,14,15,10,15
95,6.57,94,6,14,14,15,10,15
96,6.58,95,6,14,14,15,10,15
97,6.6,96,6,14,14,15,10,15
98,6.61,97,6,14,14,16,10,15
99,6.63,98,6,14,14,16,10,15
100,6.64,99,6,14,14,16,10,15
101,6.66,100,6,14,14,16,10,15
102,6.67,101,6,14,14,16,10,15
103,6.69,102,6,14,14,16,10,15
104,6.7,103,6,14,14,16,10,15
105,6.71,104,6,14,14,16,10,15
106,6.73,105,6,14,14,16,10,15
107,6.74,106,6,14,14,16,10,15
108,6.75,107,6,14,14,16,10,15
109,6.77,108,6,14,14,16,10,15
110,6.78,109,6,14,14,16,10,15
111,6.79,110,6,14,14,16,10,15
112,6.81,111,6,14,14,16,10,15
113,6.82,112,6,14,14,16,10,15
114,6.83,113,6,14,14,16,10,15
115,6.85,114,6,14,14,16,10,15
116,6.86,115,6,14,14,16,10,15
117,6.87,116,6,14,14,16,10,15
118,6.88,117,6,14,14,16,10,15
119,6.89,118,6,14,14,16,10,15
120,6.91,119,6,14,14,16,10,15
121,6.92,120,6,14,14,16,10,15
122,6.93,121,6,14,14,17,10,15
123,6.94,122,6,14,14,17,11,15
124,6.95,123,6,14,14,17,11,15
125,6.97,124,6,14,14,17,12,15
126,6.98,125,6,14,14,17,12,15
127,6.99,126,6,14,14,17,12,16
128,7,127,7,14,14,17,12,16
129,7.01,128,7,14,14,17,12,16
130,7.02,129,7,14,14,17,12,16
131,7.03,130,7,14,14,17,12,16
132,7.04,131,7,15,14,17,12,16
133,7.06,132,7,15,14,17,12,16
134,7.07,133,7,15,14,17,12,16
135,7.08,134,7,15,14,18,12,16
136,7.09,135,7,15,14,18,12,16
137,7.1,136,7,15,14,18,12,16
138,7.11,137,7,15,14,18,12,16
139,7.12,138,7,15,14,18,12,16
140,7.13,139,7,15,14,18,12,16
141,7.14,140,7,15,14,18,12,16
142,7.15,141,7,15,14,18,12,16
143,7.16,142,7,15,14,18,12,16
144,7.17,143,7,15,14,18,12,16
145,7.18,144,7,15,14,18,12,16
146,7.19,145,7,15,14,18,12,16
147,7.2,146,7,15,14,18,12,16
148,7.21,147,7,15,14,18,12,16
149,7.22,148,7,15,14,18,12,16
150,7.23,149,7,15,14,18,12,16
151,7.24,150,7,15,14,18,12,16
152,7.25,151,7,15,14,18,12,16
153,7.26,152,7,15,14,18,12,16
154,7.27,153,7,15,14,18,12,16
155,7.28,154,7,15,14,18,12,16
156,7.29,155,7,15,14,18,12,16
157,7.29,156,7,15,14,18,12,16
158,7.3,157,7,15,14,18,12,16
159,7.31,158,7,15,14,18,12,16
160,7.32,159,7,15,14,18,12,17
161,7.33,160,7,15,14,18,12,17
162,7.34,161,7,15,14,18,12,17
163,7.35,162,7,15,14,18,12,17
164,7.36,163,7,15,14,18,12,17
165,7.37,164,7,15,14,18,12,17
166,7.38,165,7,15,14,18,12,17
167,7.38,166,7,15,14,18,12,17
168,7.39,167,7,15,14,18,12,17
169,7.4,168,7,15,14,18,12,17
170,7.41,169,7,15,14,18,12,17
171,7.42,170,7,15,14,18,12,17
172,7.43,171,7,15,14,18,12,17
173,7.43,172,7,15,14,18,12,17
174,7.44,173,7,15,14,18,12,17
175,7.45,174,7,15,14,18,12,17
176,7.46,175,7,15,14,18,12,17
177,7.47,176,7,15,14,18,12,17
178,7.48,177,7,15,14,18,12,18
179,7.48,178,7,15,14,18,12,18
180,7.49,179,7,15,14,18,12,18
181,7.5,180,7,15,14,18,12,18
182,7.51,181,7,15,14,18,12,18
183,7.52,182,7,15,14,18,12,18
184,7.52,183,7,15,14,18,12,18
185,7.53,184,7,15,14,18,12,18
186,7.54,185,7,15,14,18,12,18
187,7.55,186,7,15,14,18,12,18
188,7.55,187,7,15,14,18,12,18
189,7.56,188,7,15,14,18,12,18
190,7.57,189,7,15,14,18,12,18
191,7.58,190,7,15,14,18,12,18
192,7.58,191,7,15,14,18,12,18
193,7.59,192,7,15,14,18,12,18
194,7.6,193,7,15,14,18,12,18
195,7.61,194,7,15,14,19,12,18
196,7.61,195,7,15,14,19,12,18
197,7.62,196,7,15,14,19,12,18
198,7.63,197,7,15,14,19,12,18
199,7.64,198,7,15,14,19,12,18
200,7.64,199,7,15,14,19,12,18
